生草乌,disease,葡萄蔓枯病
生草乌,disease,风症
转子莲,disease,胃肠疾病
大佛肚竹,disease,葡萄蔓枯病
亚心形扁藻,disease,脊髓中央管
亚心形扁藻,disease,果实轮纹病
云苓,disease,阴血
鸳鸯凤冠,disease,牙床
苹果害螨,disease,胃肠疾病
苹果害螨,disease,葡萄蔓枯病
苹果害螨,disease,耳痒螨病
大安丸,disease,苜蓿炭疽病
大安丸,disease,布氏杆菌病
茄子,disease,茄子灰霉病
草药,disease,药灸
拱状灵芝,disease,安神药
蒌蒿,disease,咳喘
蒌蒿,disease,胃肠疾病
高粱属,disease,水稻二化螟
高粱属,disease,心肌梗死
苍耳子散,disease,枲耳
苍耳子散,disease,内热
水鳖属,disease,芝麻茎点枯病
水鳖属,disease,马钱子中毒
水鳖属,disease,心肌梗死
蒙古栎,disease,黑脚病
蒙古栎,disease,栗疫病
木香,disease,理气药
扇骨木,disease,葡萄白粉病
衣藻属,disease,心肌梗死
蓖麻籽,disease,甘薯茎线虫病
蓖麻籽,disease,谷子黑穗病
灶心土,disease,黑脚病
灶心土,disease,杉木黄化病
米皮,disease,板冰机
米皮,disease,葡萄蔓枯病
金花山,disease,杉木炭疽病
青菜,disease,胃肠疾病
植物抗旱性,disease,植物性饲料
半灌木,disease,胃肠疾病
半灌木,disease,苎麻炭疽病
悬竹属,disease,心肌梗死
檀香梅,disease,底层鱼类
细裂槭,disease,干性湿疹
菁菜,disease,萎凋
菁菜,disease,胃肠疾病
早期智人,disease,棉花缺素症
早期智人,disease,黑脚病
早期智人,disease,心肌梗死
黄杨属,disease,心肌梗死
陈茶叶,disease,内热
陈茶叶,disease,萎凋
木芍药,disease,葡萄白粉病
木芍药,disease,樟子松疱锈病
黑儿茶,disease,葡萄蔓枯病
莲花,disease,胃肠疾病
日本花柏,disease,板冰机
叶片保水力,disease,葡萄白粉病
叶片保水力,disease,细小病毒
叶片保水力,disease,瑞氏染色法
鸟巢菌,disease,樟叶瘤丛螟
鸟巢菌,disease,葡萄蔓枯病
针阔叶混交林,disease,樟子松疱锈病
针阔叶混交林,disease,苜蓿黄萎病
针阔叶混交林,disease,落叶松癌肿病
四川苏铁,disease,马尾松赤枯病
花萼,disease,萼腐病
季稻,disease,黑条矮缩病
珊瑚菜,disease,水泡眼
珊瑚菜,disease,胃肠疾病
芜菁子,disease,大白菜病毒病
芜菁子,disease,葡萄蔓枯病
花时,disease,作物病毒病
药用萝芙木,disease,马尿
白云锦,disease,板冰机
白云锦,disease,肠炎病
苦蕺,disease,郁火
斑皮抽水树,disease,杉木炭疽病
龙眼,disease,阴血
石龙藤,disease,药灸
苗木品质,disease,樟子松疱锈病
苗木品质,disease,棉花缺素症
癞葡萄,disease,麻疯病
癞葡萄,disease,葡萄蔓枯病
白釉碗,disease,尿诊
洋梅花,disease,板冰机
牛心荔,disease,胃肠疾病
香豆子,disease,免疫原
糖槭蚧,disease,胃肠疾病
糖槭蚧,disease,茶树病虫害防治
红花除虫菊,disease,药灸
意气松,disease,亲虾
意气松,disease,樟子松疱锈病
花小,disease,花叶病
木贼属,disease,心肌梗死
丁香蓼,disease,健胃
马齿苋科,disease,公害病
酸枣,disease,血劳
袖珍椰子,disease,脓血
袖珍椰子,disease,椰子红环腐病
沙冷杉,disease,板冰机
黑沙蒿,disease,胃肠疾病
短命种子,disease,栗疫病
短命种子,disease,芝麻茎点枯病
苇状羊茅,disease,壳针孢叶斑病
南亚枇杷,disease,类鼻疽
南亚枇杷,disease,胃肠疾病
透骨草,disease,药灸
香荆芥,disease,免疫原
香荆芥,disease,头风
裂褶菌科,disease,葡萄蔓枯病
粉椴,disease,葡萄白粉病
百合属,disease,养阴润肺
百合属,disease,心肌梗死
苡,disease,胃肠疾病
紫花苜蓿,disease,苜蓿褐斑病
古柯科,disease,公害病
裸蕨纲,disease,莫尼茨绦虫病
裸蕨纲,disease,西瓜病毒病
裸蕨纲,disease,樟子松疱锈病
叶大黄,disease,葡萄蔓枯病
叶大黄,disease,轻剂
新疆贝母,disease,黑脚病
新疆贝母,disease,养阴润肺
银叶,disease,银叶病
黑高粱,disease,葡萄蔓枯病
黑高粱,disease,水稻二化螟
滇南本草,disease,解酒毒
滇南本草,disease,鼠肝
松柏木,disease,葡萄白粉病
菜心,disease,大白菜病毒病
油菜花,disease,油菜花叶病
陕西金银花,disease,黑脚病
陕西金银花,disease,清热凉血
桔青霉,disease,棉花缺素症
桔青霉,disease,产紫青霉
夏秋茶,disease,鸡痘
夏秋茶,disease,胃肠疾病
黄金桂,disease,肠病毒
黄金桂,disease,心气虚
白通草,disease,心肌梗死
白通草,disease,血淋
白头草,disease,弱脉
白头草,disease,胃肠疾病
大花葱,disease,苜蓿褐斑病
大花葱,disease,胃肠疾病
小麦胚芽,disease,小麦颖枯病
小麦胚芽,disease,谷子黑穗病
长春蔓,disease,肾性尿崩症
长春蔓,disease,葡萄蔓枯病
桄榔属,disease,心肌梗死
葡萄串,disease,葡萄蔓枯病
葡萄串,disease,蜂窝
黄筒花,disease,杉木炭疽病
圃畦,disease,桑白绢病
圃畦,disease,萼腐病
白花芥蓝,disease,苜蓿褐斑病
白花芥蓝,disease,胃肠疾病
白花芥蓝,disease,胃肠疾病
七星椒,disease,胃肠疾病
杂俎,disease,杂症
紫背天葵,disease,蛇毒中毒
紫背天葵,disease,蛇毒中毒
霜前花,disease,老年斑
霜前花,disease,病穴
姜黄属,disease,蛇毒中毒
姜黄属,disease,心肌梗死
蒲葵属,disease,心肌梗死
川陈皮素,disease,胃肠疾病
宫前早春,disease,果实轮纹病
白玉花,disease,杉木炭疽病
云南铁杉,disease,萎凋
珊瑚菌科,disease,水泡眼
珊瑚菌科,disease,牛肝菌属
骨皮,disease,骨质软化病
中平树,disease,疫气
中平树,disease,杉木炭疽病
番豆,disease,板冰机
番豆,disease,胃肠疾病
白三叶草,disease,心肌梗死
白三叶草,disease,苜蓿褐斑病
玫瑰,disease,鳞屑
书带草,disease,胃肠疾病
白花藤,disease,苜蓿褐斑病
白花藤,disease,药灸
猕猴桃属,disease,降血脂
猕猴桃属,disease,心肌梗死
珠兰茶,disease,胃肠疾病
莲子草,disease,胃肠疾病
莲子草,disease,胃肠疾病
非洲楝属,disease,EB病毒
非洲楝属,disease,血劳
非洲楝属,disease,心肌梗死
甘薯片,disease,桑根结线虫病
甘薯片,disease,葡萄白粉病
香花枇杷,disease,胃肠疾病
凤凰水仙,disease,茶圆赤星病
凤凰水仙,disease,茶圆赤星病
地胡椒,disease,葡萄蔓枯病
地胡椒,disease,胡椒花叶病
腔孢纲,disease,心肌梗死
腔孢纲,disease,松针锈病
仙人球属,disease,心肌梗死
矮紫杉,disease,棉花缺素症
黄皮果,disease,黄蘖
黄皮果,disease,芝麻茎点枯病
花序轴,disease,丝黑穗病
花序轴,disease,肾阳虚
硬毛变种,disease,粟粒线虫病
兰花美人蕉,disease,兰花炭疽病
檗皮,disease,黑麦秆锈病
檗皮,disease,葡萄蔓枯病
植物标本,disease,植物性饲料
植物标本,disease,B病毒
天花粉,disease,蛇毒中毒
茶果,disease,茶红锈藻病
风火,disease,心黄
赖草属,disease,心肌梗死
杏,disease,咳喘
落叶树,disease,青杨叶锈病
蝴蝶槐,disease,系统性红斑狼疮
蝴蝶槐,disease,杉木炭疽病
杉藻科,disease,公害病
乐昌白毛茶,disease,心肌梗死
乐昌白毛茶,disease,茶圆赤星病
西红柿,disease,清热泻火
鸡爪连,disease,柿疯病
鸡爪连,disease,关节脱位
叶刺,disease,蛇毒中毒
茄子花,disease,茄子灰霉病
茄子花,disease,杉木炭疽病
马尾,disease,自然曲度
风荷,disease,绝热
闽鄂山茶,disease,甘蔗花叶病
闽鄂山茶,disease,甘薯根腐病
闽鄂山茶,disease,油茶炭疽病
绿叶山绿豆,disease,松针褐斑病
绿叶山绿豆,disease,杉木炭疽病
绿叶山绿豆,disease,传染性水疱病
盘菌科,disease,向日葵菌核病
盘菌科,disease,公害病
铁角蕨,disease,西瓜病毒病
山楂子,disease,胃肠疾病
山楂子,disease,葡萄蔓枯病
次生草地,disease,带状疱疹
次生草地,disease,苜蓿黄萎病
罔草,disease,风痛
罔草,disease,胃肠疾病
续断,disease,血肿
锐齿栎,disease,栗疫病
穗状核桃,disease,胃肠疾病
橡胶树,disease,橡胶树白粉病
冷饮,disease,热邪
南美苦木,disease,口蹄疫病毒
可爱花,disease,卧蚕
可爱花,disease,杉木炭疽病
洋地黄,disease,心脏毒
半发酵茶,disease,胃肠疾病
半发酵茶,disease,板冰机
半发酵茶,disease,胃肠疾病
弗州草莓,disease,月经周期
金绿色,disease,弯体病
金绿色,disease,棉花缺素症
槲树皮,disease,降血脂
槲树皮,disease,果实轮纹病
食用菌菌种,disease,植物生长调节剂
食用菌菌种,disease,谷子黑穗病
小冠花属,disease,心肌梗死
海棠,disease,胃肠疾病
本草通玄,disease,鼠肝
叶水平,disease,葡萄蔓枯病
叶水平,disease,脂血症
枸头橙,disease,椰子红环腐病
枇杷花,disease,胃肠疾病
枇杷花,disease,杉木炭疽病
毛榛,disease,胃肠疾病
毛杨梅,disease,胃肠疾病
毛杨梅,disease,胃宝
大岩桐花,disease,杉木炭疽病
山柳乌桕,disease,苗木白绢病
乌米尖,disease,玉米丝黑穗病
乌米尖,disease,郁火
花丝筒,disease,金疮
花丝筒,disease,苹果霉心病
雄蕊,disease,金疮
葡萄根,disease,葡萄蔓枯病
葡萄根,disease,植物性饲料
倒地铃,disease,马传染性脑脊髓炎
倒地铃,disease,棉花缺素症
鸡脚菜,disease,胃肠疾病
珂楠树,disease,粟墨黑粉病
日中性植物,disease,板冰机
日中性植物,disease,奎尼丁
日中性植物,disease,植物性饲料
姜黄,disease,蛇毒中毒
黄睡莲,disease,葡萄蔓枯病
蚁道,disease,甘蔗花叶病
蚁道,disease,公害病
灰灰菜,disease,胃肠疾病
苹果叶,disease,胃肠疾病
苹果叶,disease,葡萄蔓枯病
木樨,disease,苜蓿褐斑病
尾叶桉,disease,水稻黄矮病
尾叶桉,disease,心叶桉
孝顺竹,disease,卧蚕
孝顺竹,disease,萎凋
水勒缰,disease,病犬
槟榔属,disease,头槽绦虫病
槟榔属,disease,心肌梗死
百合目,disease,养阴润肺
百合目,disease,郁火
苗床,disease,萼腐病
叶黄素类,disease,黄斑
叶黄素类,disease,心肌梗死
异穗苔草,disease,郁火
异穗苔草,disease,胃肠疾病
红菇科,disease,公害病
甜瓜,disease,胃肠疾病
观音莲,disease,幻觉
观音莲,disease,胃肠疾病
欧洲山松,disease,眼窝
欧洲山松,disease,松疱锈病
根状茎,disease,坏死斑
凤眼果,disease,芝麻茎点枯病
浒苔属,disease,血污
浒苔属,disease,郁火
浒苔属,disease,心肌梗死
犀角,disease,清热凉血
土人参,disease,呼吸根
土人参,disease,心气虚
红香蕉,disease,葡萄蔓枯病
红香蕉,disease,胃肠疾病
紫藤属,disease,心肌梗死
异色来江藤,disease,洗胃
箭竹属,disease,心肌梗死
红花子,disease,药灸
红花子,disease,葡萄蔓枯病
蕉木,disease,胃肠疾病
蕉木,disease,葡萄白粉病
毒箭木,disease,葡萄白粉病
萆薢,disease,风症
短日植物,disease,植物性饲料
桂花,disease,煤污病
羊角拗,disease,蛇毒中毒
墨西哥玉米,disease,TTP
墨西哥玉米,disease,玉米大斑病
鸡心枣,disease,胃肠疾病
黑小麦,disease,葡萄蔓枯病
黑小麦,disease,小麦颖枯病
赤莲,disease,黑斑病
绵枣儿,disease,莫尼茨绦虫病
油莎草,disease,葡萄白粉病
显脉金花茶,disease,胃肠疾病
空心柳,disease,痉挛
空心柳,disease,安络血
刺玫,disease,月季黑斑病
石榴皮,disease,乌头药
麒麟叶,disease,血竭
麒麟叶,disease,葡萄蔓枯病
野生樱桃,disease,紫菀黄化病
野生樱桃,disease,李袋果病
乌桕籽,disease,苗木白绢病
乌桕籽,disease,谷子黑穗病
